"","OB_END_TIME","MAX_AIR_TEMP"
"626","1997-08-01 21:00",14
"627","1997-09-01 21:00",16.1
"628","1997-10-01 21:00",10.9
"629","1997-11-01 21:00",10.1
"630","1997-12-01 21:00",3.7
"631","1998-01-01 21:00",7
"632","1998-02-01 21:00",2.9
"633","1998-03-01 21:00",-0.7
"634","1998-04-01 21:00",7.7
"635","1998-05-01 21:00",12.1
"636","1998-06-01 21:00",10.4
"637","1998-07-01 21:00",12.8
"638","1998-08-01 21:00",12.2
"639","1998-09-01 21:00",14.3
"640","1998-10-01 21:00",11.9
"641","1998-11-01 21:00",7.2
"642","1998-12-01 21:00",10
"643","1999-01-01 21:00",7.6
"644","1999-02-01 21:00",8.1
"645","1999-03-01 21:00",5.2
"646","1999-04-01 21:00",9.9
"647","1999-05-01 21:00",8
"648","1999-06-01 21:00",10.1
"649","1999-07-01 21:00",13.4
"650","1999-08-01 21:00",17.8
"651","1999-09-01 21:00",15
"652","1999-10-01 21:00",11.3
"653","1999-11-01 21:00",10.7
"654","1999-12-01 21:00",2.5
"655","2000-01-01 21:00",7.4
"656","2000-02-01 21:00",6.4
"657","2000-03-01 21:00",3
"658","2000-04-01 21:00",3.6
"659","2000-05-01 21:00",10
"660","2000-06-01 21:00",10.3
"661","2000-07-01 21:00",11.1
"662","2000-08-01 21:00",12.8
"663","2000-09-01 21:00",14.4
"664","2000-10-01 21:00",11.7
"665","2000-11-01 21:00",8.5
"666","2000-12-01 21:00",9.3
"667","2001-01-01 21:00",7.3
"668","2001-02-01 21:00",5.5
"669","2001-03-01 21:00",1
"670","2001-04-01 21:00",9.3
"671","2001-05-01 21:00",8.3
"672","2001-06-01 21:00",11.9
"673","2001-07-01 21:00",12.7
"674","2001-08-01 21:00",14.9
"675","2001-09-01 21:00",11.8
"676","2001-10-01 21:00",13.7
"677","2001-11-01 21:00",10.7
"678","2001-12-01 21:00",5
"679","2002-01-01 21:00",7.5
"680","2002-02-01 21:00",7.6
"681","2002-03-01 21:00",3.2
"682","2002-04-01 21:00",9
"683","2002-05-01 21:00",10.2
"684","2002-06-01 21:00",11.9
"685","2002-07-01 21:00",12.3
"686","2002-08-01 21:00",15.3
"687","2002-09-01 21:00",13.1
"688","2002-10-01 21:00",15
"689","2002-11-01 21:00",8.1
"690","2002-12-01 21:00",7.4
"691","2003-01-01 21:00",4
"692","2003-02-01 21:00",4.3
"693","2003-03-01 21:00",6.3
"694","2003-04-01 21:00",7.9
"695","2003-05-01 21:00",6.5
"696","2003-06-01 21:00",13.7
"697","2003-07-01 21:00",14.7
"698","2003-08-01 21:00",17.3
"699","2003-09-01 21:00",13.2
"700","2003-10-01 21:00",12.3
"701","2003-11-01 21:00",5.8
"702","2003-12-01 21:00",7
"703","2004-01-01 21:00",5.9
"704","2004-02-01 21:00",4
"705","2004-03-01 21:00",6.8
"706","2004-04-01 21:00",8.5
"707","2004-05-01 21:00",10
"708","2004-06-01 21:00",11.5
"709","2004-07-01 21:00",11.7
"710","2004-08-01 21:00",13.5
"711","2004-09-01 21:00",14.5
"712","2004-10-01 21:00",11.5
"713","2004-11-01 21:00",10.5
"714","2004-12-01 21:00",6.9
"715","2005-01-01 21:00",6.5
"716","2005-02-01 21:00",7.2
"717","2005-03-01 21:00",4.3
"718","2005-04-01 21:00",8.5
"719","2005-05-01 21:00",8.9
"720","2005-06-01 21:00",9.7
"721","2005-07-01 21:00",12.3
"722","2005-08-01 21:00",12.9
"723","2005-09-01 21:00",13.2
"724","2005-10-01 21:00",11.3
"725","2005-11-01 21:00",10.9
"726","2005-12-01 21:00",8.8
"727","2006-01-01 21:00",4.4
"728","2006-02-01 21:00",5.8
"729","2006-03-01 21:00",1.5
"730","2006-04-01 21:00",6.7
"731","2006-05-01 21:00",7.3
"732","2006-06-01 21:00",10
"733","2006-07-01 21:00",13.7
"734","2006-08-01 21:00",15.5
"735","2006-09-01 21:00",15.7
"736","2006-10-01 21:00",13.6
"737","2006-11-01 21:00",5.9
"738","2006-12-01 21:00",8.7
"739","2007-01-01 21:00",6.4
"740","2007-02-01 21:00",9.1
"741","2007-03-01 21:00",5.4
"742","2007-04-01 21:00",7.7
"743","2007-05-01 21:00",9.4
"744","2007-06-01 21:00",15.6
"745","2007-07-01 21:00",14.7
